"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"28";"BTCUSD";"Comprar";"2023.11.04 11:30:00";"34745.20";"0.10000";"2023.11.04 11:45:00";"34745.20";"0.00";"16135.45";"IST";"MoveSL2BE";"0.00";"1.52";"15m 0s";""
"8";"BTCUSD";"Vender";"2023.11.04 11:45:00";"34671.44";"0.10000";"2023.11.04 17:45:00";"34718.44";"-4.70";"16130.75";"IST";"Exit After X Bars";"-9.20";"3.69";"6h 0m";""
"31";"BTCUSD";"Comprar";"2023.11.04 12:30:00";"34713.50";"0.10000";"2023.11.04 13:00:00";"34713.50";"0.00";"16135.45";"IST";"MoveSL2BE";"-4.16";"2.11";"30m 0s";""
"33";"BTCUSD";"Comprar";"2023.11.05 08:30:00";"35113.20";"0.10000";"2023.11.05 12:45:00";"35113.20";"0.00";"16130.75";"IST";"MoveSL2BE";"-11.51";"2.91";"4h 15m";""
"43";"BTCUSD";"Vender";"2023.11.06 08:30:00";"34860.90";"0.10000";"2023.11.06 10:00:00";"35104.93";"-24.40";"16106.34";"IST";"SL";"-24.40";"1.43";"1h 30m";""
"44";"BTCUSD";"Comprar";"2023.11.06 11:00:00";"35133.60";"0.10000";"2023.11.06 12:15:00";"35133.60";"0.00";"16106.34";"IST";"MoveSL2BE";"-8.03";"7.66";"1h 15m";""
"12";"BTCUSD";"Vender";"2023.11.06 13:00:00";"35063.43";"0.10000";"2023.11.06 19:00:00";"34915.64";"14.78";"16121.12";"IST";"Exit After X Bars";"-11.81";"29.30";"6h 0m";""
"45";"BTCUSD";"Comprar";"2023.11.06 14:15:00";"35107.50";"0.10000";"2023.11.06 15:00:00";"35107.50";"0.00";"16106.34";"IST";"MoveSL2BE";"-8.43";"7.39";"45m 0s";""
"48";"BTCUSD";"Vender";"2023.11.07 08:15:00";"34874.60";"0.10000";"2023.11.07 08:30:00";"34874.60";"0.00";"16121.12";"IST";"MoveSL2BE";"0.00";"1.47";"15m 0s";""
"49";"BTCUSD";"Comprar";"2023.11.07 08:45:00";"34889.20";"0.10000";"2023.11.07 10:00:00";"34644.98";"-24.42";"16096.70";"IST";"SL";"-24.42";"0.07";"1h 15m";""
"51";"BTCUSD";"Vender";"2023.11.07 11:30:00";"34629.50";"0.10000";"2023.11.07 12:00:00";"34629.50";"0.00";"16096.70";"IST";"MoveSL2BE";"-2.93";"4.97";"30m 0s";""
"13";"BTCUSD";"Comprar";"2023.11.07 17:15:00";"34740.64";"0.10000";"2023.11.07 20:45:00";"35748.12";"100.75";"16197.45";"IST";"PT";"-5.17";"100.75";"3h 30m";""
"56";"BTCUSD";"Comprar";"2023.11.08 10:00:00";"35260.90";"0.10000";"2023.11.08 14:30:00";"35260.90";"0.00";"16197.45";"IST";"MoveSL2BE";"0.00";"16.21";"4h 30m";""
"62";"BTCUSD";"Comprar";"2023.11.09 08:45:00";"36625.20";"0.10000";"2023.11.09 09:00:00";"36625.20";"0.00";"16197.45";"IST";"MoveSL2BE";"0.00";"4.88";"15m 0s";""
"64";"BTCUSD";"Comprar";"2023.11.09 11:30:00";"36720.50";"0.10000";"2023.11.09 14:45:00";"37785.39";"106.49";"16303.94";"IST";"PT";"-0.17";"106.49";"3h 15m";""
"73";"BTCUSD";"Comprar";"2023.11.10 08:45:00";"36474.70";"0.10000";"2023.11.10 10:45:00";"36474.70";"0.00";"16303.94";"IST";"MoveSL2BE";"-5.21";"11.17";"2h 0m";""
"17";"BTCUSD";"Comprar";"2023.11.10 09:15:00";"36462.92";"0.10000";"2023.11.10 15:15:00";"37144.50";"68.16";"16372.09";"IST";"Exit After X Bars";"-2.79";"75.49";"6h 0m";""
"76";"BTCUSD";"Comprar";"2023.11.10 14:30:00";"37077.30";"0.10000";"2023.11.10 14:45:00";"37077.30";"0.00";"16303.94";"IST";"MoveSL2BE";"0.00";"5.12";"15m 0s";""
"79";"BTCUSD";"Vender";"2023.11.11 10:15:00";"36958.30";"0.10000";"2023.11.11 10:30:00";"36958.30";"0.00";"16372.09";"IST";"MoveSL2BE";"0.00";"3.11";"15m 0s";""
"80";"BTCUSD";"Vender";"2023.11.11 11:00:00";"36965.00";"0.10000";"2023.11.11 11:15:00";"36965.00";"0.00";"16372.09";"IST";"MoveSL2BE";"0.00";"7.43";"15m 0s";""
"83";"BTCUSD";"Comprar";"2023.11.11 17:45:00";"37105.40";"0.10000";"2023.11.11 20:00:00";"37105.40";"0.00";"16372.09";"IST";"MoveSL2BE";"-5.11";"3.10";"2h 15m";""
"86";"BTCUSD";"Comprar";"2023.11.12 08:45:00";"37086.20";"0.10000";"2023.11.12 14:30:00";"37086.20";"0.00";"16372.09";"IST";"MoveSL2BE";"-16.99";"6.07";"5h 45m";""
"23";"BTCUSD";"Vender";"2023.11.12 10:45:00";"37047.16";"0.10000";"2023.11.12 16:45:00";"37101.64";"-5.45";"16366.65";"IST";"Exit After X Bars";"-13.65";"13.07";"6h 0m";""
"88";"BTCUSD";"Comprar";"2023.11.12 15:30:00";"37086.60";"0.10000";"2023.11.12 16:15:00";"37086.60";"0.00";"16372.09";"IST";"MoveSL2BE";"0.00";"9.69";"45m 0s";""
"95";"BTCUSD";"Vender";"2023.11.13 08:00:00";"36912.80";"0.10000";"2023.11.13 08:15:00";"36912.80";"0.00";"16366.65";"IST";"MoveSL2BE";"0.00";"1.58";"15m 0s";""
"24";"BTCUSD";"Comprar";"2023.11.13 08:15:00";"36961.76";"0.10000";"2023.11.13 11:45:00";"36703.03";"-25.87";"16340.77";"IST";"SL";"-25.87";"5.57";"3h 30m";""
