"Strategy Name";"WF Fitness";"WF Symbol";"WF TimeFrame";"WF Net profit";"WF Mini equity chart";"WF # of trades";"WF Profit factor";"WF Sharpe Ratio";"WF R Expectancy";"WF Annual % Return";"WF Stability";"WF Symmetry";"WF Drawdown";"WF Win/Loss ratio";"WF Ret/DD Ratio";"WF CAGR/Max DD %";"WF Avg. Win";"WF Avg. Loss";"WF Avg. Bars Win";"WF Avg. Bars Loss";"WF Avg. Bars in Trade";"WF Exposure";"WF Fitness";"WF Net profit";"WF Mini equity chart";"WF # of trades";"WF Profit factor";"WF Sharpe Ratio";"WF R Expectancy";"WF Annual % Return";"WF Stability";"WF Symmetry";"WF Drawdown";"WF Win/Loss ratio";"WF Ret/DD Ratio";"WF CAGR/Max DD %";"WF Avg. Win";"WF Avg. Loss";"WF Avg. Bars Win";"WF Avg. Bars Loss";"WF Avg. Bars in Trade";"WF Exposure"
"Strategy 0.233";"0.7";"AAPL";"M1";"116.85";"";"1480";"1.11";"0.24";"0.07";"0.09";"0.59";"0.0";"44.21";"0.55";"2.64";"0.2";"2.15";"1.07";"1933.02";"854.45";"1239.24";"89.55";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.155";"0.86";"AAPL";"M1";"115.0";"";"18270";"1.13";"0.46";"0.05";"0.09";"0.66";"0.0";"14.27";"1.16";"8.06";"0.64";"0.11";"0.12";"29.76";"28.79";"29.38";"8.92";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.125";"0.74";"AAPL";"M1";"114.79";"";"2054";"1.16";"0.29";"0.04";"0.09";"0.39";"0.0";"33.89";"2.64";"3.39";"0.26";"0.57";"1.3";"653.12";"1339.9";"841.7";"73.07";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.63";"0.88";"AAPL";"M1";"113.77";"";"5616";"1.14";"0.42";"0.05";"0.09";"0.53";"0.0";"11.24";"0.89";"10.12";"0.82";"0.54";"0.43";"401.28";"224.04";"299.58";"62.95";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.122";"0.68";"AAPL";"M1";"113.43";"";"765";"1.15";"0.23";"0.11";"0.09";"0.68";"0.0";"49.07";"0.38";"2.31";"0.19";"4.0";"1.33";"4071.1";"1209.2";"2002.3";"94.2";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.23";"0.82";"AAPL";"M1";"110.53";"";"14003";"1.19";"0.44";"0.08";"0.09";"0.62";"44.22";"19.85";"1.11";"5.57";"0.4";"0.11";"0.1";"21.99";"21.86";"21.94";"12.78";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.258";"0.75";"AAPL";"M1";"107.04";"";"13915";"1.1";"0.29";"0.01";"0.08";"0.53";"0.0";"29.3";"0.78";"3.65";"0.28";"0.85";"0.6";"408.86";"140.42";"136.27";"64.25";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.50";"0.93";"AAPL";"M1";"101.03";"";"7949";"1.48";"0.62";"0.16";"0.08";"0.6";"26.52";"5.41";"1.45";"18.67";"1.6";"0.08";"0.08";"13.94";"13.09";"13.66";"9.0";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.73";"0.9";"AAPL";"M1";"97.27";"";"9654";"1.52";"0.66";"0.17";"0.07";"0.53";"0.0";"7.68";"1.46";"12.67";"0.88";"0.06";"0.06";"5.95";"5.9";"5.94";"1.03";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.314";"0.87";"AAPL";"M1";"96.61";"";"3304";"1.19";"0.27";"0.1";"0.07";"0.61";"0.0";"11.25";"0.95";"8.59";"0.64";"0.37";"0.3";"228.98";"194.89";"211.5";"22.68";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.270";"0.66";"AAPL";"M1";"96.35";"";"1656";"1.1";"0.15";"0.07";"0.07";"0.69";"0.0";"44.35";"0.37";"2.17";"0.16";"2.5";"0.83";"2452.15";"497.96";"1082.48";"87.84";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.253";"0.78";"AAPL";"M1";"93.81";"";"3230";"1.11";"0.17";"0.03";"0.07";"0.61";"0.0";"21.0";"0.77";"4.47";"0.33";"1.3";"0.9";"1074.32";"366.41";"599.9";"79.6";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.231";"0.95";"AAPL";"M1";"85.08";"";"3763";"1.67";"0.36";"0.23";"0.07";"0.49";"78.25";"2.94";"1.65";"28.94";"2.33";"0.11";"0.1";"19.76";"18.87";"19.5";"2.29";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.174";"0.88";"AAPL";"M1";"78.01";"";"2816";"1.36";"0.11";"0.04";"0.06";"0.63";"11.2";"8.14";"1.34";"9.58";"0.75";"0.73";"0.72";"631.56";"569.37";"344.1";"41.12";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
